
gd = gridDim
bd = blockDim
bi = blockIdx
ti = threadIdx

gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 192,   0,   0) 39992
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 193,   0,   0) 39993
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 194,   0,   0) 39994
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 195,   0,   0) 39995
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 196,   0,   0) 39996
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 197,   0,   0) 39997
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 198,   0,   0) 39998
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 199,   0,   0) 39999
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 151,   0,   0) 39951
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 152,   0,   0) 39952
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 153,   0,   0) 39953
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 154,   0,   0) 39954
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 155,   0,   0) 39955
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 156,   0,   0) 39956
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 157,   0,   0) 39957
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 158,   0,   0) 39958
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 159,   0,   0) 39959
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 160,   0,   0) 39960
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 161,   0,   0) 39961
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 162,   0,   0) 39962
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 163,   0,   0) 39963
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 164,   0,   0) 39964
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 165,   0,   0) 39965
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 166,   0,   0) 39966
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 167,   0,   0) 39967
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 168,   0,   0) 39968
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 169,   0,   0) 39969
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 170,   0,   0) 39970
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 171,   0,   0) 39971
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 172,   0,   0) 39972
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 173,   0,   0) 39973
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 174,   0,   0) 39974
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 175,   0,   0) 39975
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 176,   0,   0) 39976
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 177,   0,   0) 39977
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 178,   0,   0) 39978
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 179,   0,   0) 39979
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 180,   0,   0) 39980
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 181,   0,   0) 39981
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 182,   0,   0) 39982
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 183,   0,   0) 39983
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 184,   0,   0) 39984
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 185,   0,   0) 39985
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 186,   0,   0) 39986
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 187,   0,   0) 39987
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 188,   0,   0) 39988
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 189,   0,   0) 39989
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 190,   0,   0) 39990
gd( 200,   1,   1) bd( 200,   1,   1) bi( 199,   0,   0) ti( 191,   0,   0) 39991
